shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
60922,33.676726,-117.805621,403
60922,33.67678,-117.805714,404
60922,33.676847,-117.805836,405
60922,33.677004,-117.806123,406
60922,33.677065,-117.806239,407
60922,33.677169,-117.806437,408
60922,33.677217,-117.806525,409
60922,33.677351,-117.806774,410
60922,33.677535,-117.807119,411
60922,33.677678,-117.807387,412
60922,33.677824,-117.807653,413
60922,33.6779,-117.807788,414
60922,33.67798,-117.807921,415
60922,33.678014,-117.807974,416
60922,33.678102,-117.80811,417
60922,33.67819,-117.808246,418
60922,33.678221,-117.808292,419
60922,33.678275,-117.80837,420
60922,33.678356,-117.808483,421
60922,33.678438,-117.808596,422
60922,33.678505,-117.808683,423
60922,33.678573,-117.80877,424
60922,33.678668,-117.808885,425
60922,33.678811,-117.809052,426
60922,33.678992,-117.809253,427
60922,33.679073,-117.809335,428
60922,33.679122,-117.809386,429
60922,33.679197,-117.809323,430
60922,33.67926,-117.809263,431
60922,33.679429,-117.809125,432
60922,33.679585,-117.808999,433
60922,33.679601,-117.808986,434
60922,33.679771,-117.808851,435
60922,33.679779,-117.808844,436
60922,33.679814,-117.808813,437
60922,33.679823,-117.808805,438
60922,33.679992,-117.808654,439
60922,33.680032,-117.80862,440
60922,33.680055,-117.8086,441
60922,33.680574,-117.808134,442
60922,33.680639,-117.808076,443
60922,33.680655,-117.80806,444
60922,33.680942,-117.807773,445
60922,33.681225,-117.807481,446
60922,33.681251,-117.807448,447
60922,33.681458,-117.807189,448
60922,33.681488,-117.807152,449
60922,33.681508,-117.807124,450
60922,33.681524,-117.807102,451
60922,33.681558,-117.807057,452
60922,33.681598,-117.807004,453
60922,33.68173,-117.806827,454
60922,33.68175,-117.8068,455
60922,33.681872,-117.806636,456
60922,33.681976,-117.806485,457
60922,33.682028,-117.806411,458
60922,33.682056,-117.806372,459
60922,33.682084,-117.806333,460
60922,33.682098,-117.806314,461
60922,33.682119,-117.806285,462
60922,33.682125,-117.806277,463
60922,33.682302,-117.806033,464
60922,33.682355,-117.805953,465
60922,33.682374,-117.805924,466
60922,33.682378,-117.805902,467
60922,33.682385,-117.805868,468
60922,33.682403,-117.805772,469
60922,33.682763,-117.805287,470
60922,33.683099,-117.80482,471
60922,33.683241,-117.804632,472
60922,33.683327,-117.804528,473
60922,33.683405,-117.804434,474
60922,33.683472,-117.804359,475
60922,33.683531,-117.804295,476
60922,33.683597,-117.804229,477
60922,33.683782,-117.804044,478
60922,33.68413,-117.803751,479
60922,33.684455,-117.803526,480
60922,33.684779,-117.803347,481
60922,33.685091,-117.803204,482
60922,33.685257,-117.80313,483
60922,33.685406,-117.803064,484
60922,33.685499,-117.803023,485
60922,33.685603,-117.802974,486
60922,33.685945,-117.802812,487
60922,33.686045,-117.802765,488
60922,33.686281,-117.802628,489
60922,33.686483,-117.802494,490
60922,33.686602,-117.802401,491
60922,33.686689,-117.802333,492
60922,33.686894,-117.802156,493
60922,33.686956,-117.802094,494
60922,33.68707,-117.801979,495
60922,33.687197,-117.801852,496
60922,33.68733,-117.801701,497
60922,33.687506,-117.801474,498
60922,33.687677,-117.80122,499
60922,33.687851,-117.800929,500
60922,33.687906,-117.800825,501
60922,33.687963,-117.800712,502
60922,33.688027,-117.800585,503
60922,33.688071,-117.800482,504
60922,33.688175,-117.800239,505
60922,33.688282,-117.799946,506
60922,33.688371,-117.799634,507
60922,33.688456,-117.799269,508
60922,33.688493,-117.799083,509
60922,33.688516,-117.798909,510
60922,33.688542,-117.798707,511
60922,33.68855,-117.798631,512
60922,33.688557,-117.798524,513
60922,33.688561,-117.798445,514
60922,33.688572,-117.798294,515
60922,33.68858,-117.798173,516
60922,33.688578,-117.797851,517
60922,33.688554,-117.797474,518
60922,33.688511,-117.797111,519
60922,33.688443,-117.796725,520
60922,33.688316,-117.796253,521
60922,33.688217,-117.795952,522
60922,33.688181,-117.795866,523
60922,33.688123,-117.795724,524
60922,33.688101,-117.795671,525
60922,33.688066,-117.795588,526
60922,33.687932,-117.795312,527
60922,33.687757,-117.79499,528
60922,33.687561,-117.794686,529
60922,33.687281,-117.794341,530
60922,33.687179,-117.794222,531
60922,33.687123,-117.794157,532
60922,33.686979,-117.794012,533
60922,33.686629,-117.793695,534
60922,33.686407,-117.79348,535
60922,33.686247,-117.793324,536
60922,33.685906,-117.792973,537
60922,33.68572,-117.792782,538
60922,33.68539,-117.792402,539
60922,33.685303,-117.792302,540
60922,33.685091,-117.792057,541
60922,33.684654,-117.791511,542
60922,33.684597,-117.79143,543
60922,33.684072,-117.790693,544
60922,33.684056,-117.79067,545
60922,33.683996,-117.790584,546
60922,33.683958,-117.790527,547
60922,33.683922,-117.790473,548
60922,33.683982,-117.79041,549
60922,33.684004,-117.790386,550
60922,33.684072,-117.790317,551
60922,33.6842,-117.790187,552
60922,33.684348,-117.790037,553
60922,33.685057,-117.789315,554
60922,33.685209,-117.789163,555
60922,33.685955,-117.788416,556
60922,33.686007,-117.788366,557
60922,33.686085,-117.788291,558
60922,33.686226,-117.788153,559
60922,33.686336,-117.788049,560
60922,33.686374,-117.788014,561
60922,33.686628,-117.787764,562
60922,33.686739,-117.787655,563
60922,33.687085,-117.787302,564
60922,33.687165,-117.787229,565
60922,33.687643,-117.786758,566
60922,33.68834,-117.786071,567
60922,33.688423,-117.78599,568
60922,33.688969,-117.78545,569
60922,33.688996,-117.785443,570
60922,33.689092,-117.785421,571
60922,33.689175,-117.78533,572
60922,33.689356,-117.78514,573
60922,33.689498,-117.78499,574
60922,33.689653,-117.784837,575
60922,33.689941,-117.784552,576
60922,33.690646,-117.783858,577
60922,33.690851,-117.78366,578
60922,33.691054,-117.783462,579
60922,33.691453,-117.783071,580
60922,33.69161,-117.782914,581
60922,33.692046,-117.78249,582
60922,33.692549,-117.78204,583
